Key,Name,Status,Definition,Abbreviations,Aliases,AdditionalNotes,Stewards,RelatedGlossaries,TermEntityType,ParentGlossary
678,13F_Filings_QtrEnd,,"
    
      <span style=""color:#000000;font-size:8pt;font-family:&#39;ms shell dlg&#39;"">
        13F is a quarterly report that is required to be filed by all institutional investment 
        managers with at least $100 million in assets under management.  It disclosed their equity 
        holdings and can provide insights into what the smart money is doing in the market.  This 
        table facilitates the filing of 13F by TRS
      </span>
    
  
",,,,,,,
1200,AcqBroker,,,,,,,,,
1253,AcqTaNum,,,,,,,,,
1141,AcqTradeDate,,,,,,,,,
897,AcqTranType,,,,,,,,,
922,ActiveAmort,,,,,,,,,
1225,ActiveDate,,,,,,,,,
1277,ActivePrep,,,,,,,,,
2821,Active Session Flag,,,,,,,,,
1342,Address,,,,,,,,,
1711,Address ID,,,,,,,,,
1710,Address Line 1,,,,,,,,,
1712,Address Line 2,,,,,,,,,
2178,Address Type,,,,,,,,,
2193,Address Type Code,,,,,,,,,
2179,Address Type Desciption,,,,,,,,,
2180,Address Type Name,,,,,,,,,
1007,AfterTaxYield,,,,,,,,,
1733,Agency,,,,,,,,,
1832,agencyID,,,,,,,,,
1830,Agency Name,,,,,,,,,
1118,AltDate,,,,,,,,,
1177,AltRate,,,,,,,,,
1239,Amount,,,,,,,,,
1226,AnnualIncome,,,,,,,,,
933,AnnualIncomewAmort,,,,,,,,,
2510,Bill to Address Id,,,,,,,,,
959,CarryValueCode,,,,,,,,,
2001,Category,,,,,,,,,
1343,City,,,,,,,,,
2063,Completion Date,,,,,,,,,
1751,Contract,,,,,,,,,
1831,Contractor,,,,,,,,,
1732,Country,,,,,,,,,
1005,Coupon,,,,,,,,,
2035,Course ID,,,,,,,,,
2194,Credit Card,,Andreano&#39;s test,,,,,,,
2215,Credit Card Expiration Month,,,,,,,,,
2216,Credit Card Expiration Year,,,,,,,,,
2214,Credit Card Id,,,,,,,,,
2195,Credit Card Number,,,,,,,,,
2225,Credit Card Type,,,,,,,,,
2224,Credit Card Type Code,,,,,,,,,
2241,Credit Card Type Description,,,,,,,,,
2242,Credit Card Type Name,,,,,,,,,
1082,CreditorCusip,,,,,,,,,
2243,Currency,,,,,,,,,
1128,CurrencyCode,,,,,,,,,
2257,Currency Id,,,,,,,,,
2256,Currency Name,,,,,,,,,
2258,Currency Symbol,,,,,,,,,
1017,CurrYield,,,,,,,,,
756,Cusip,,"
    
      <span style=""color:#000000;font-size:8pt;font-family:&#39;ms shell dlg&#39;"">
        A nine-character alphanumeric identifier that&#39;s used to uniquely identify financial 
        instruments and their issuers.
      </span>
    
  
",,,,,,,
788,CUSIP_CD,,"
    
      <span style=""color:#000000;font-size:8pt;font-family:&#39;ms shell dlg&#39;"">
        Provides a crosswalk between State Street identifiers and CUSIPs
      </span>
    
  
",,,,,,,
2265,Customer,,Andreano&#39;s test,,,,,,,
2324,Customer Address,,,,,,,,,
2360,Customer Address Id,,,,,,,,,
2341,Customer Address Line1,,,,,,,,,
2340,Customer Address Line2,,,,,,,,,
2312,Customer Age,,,,,,,,,
2369,Customer Area Code,,,,,,,,,
2350,Customer City,,,,,,,,,
2266,Customer Email Address,,,,,,,,,
2311,Customer First Name,,,,,,,,,
2310,Customer Gendor,,,,,,,,,
2223,Customer Id,,,,,,,,,
2322,Customer Last Name,,,,,,,,,
2267,Customer Middle Initial,,,,,,,,,
2323,Customer Password,,,,,,,,,
2367,Customer Phone,,,,,,,,,
2386,Customer Phone Extension,,,,,,,,,
2368,Customer Phone Id,,,,,,,,,
2349,Customer State,,,,,,,,,
2359,Customer Zipcode,,,,,,,,,
2342,Customer Zipcode Extension,,,,,,,,,
1104,DateCreated,,,,,,,,,
1152,DateTo,,,,,,,,,
1846,Day Rate,,,,,,,,,
1094,DealID,,,,,,,,,
1030,DealNumber,,,,,,,,,
1847,Department,,,,,,,,,
2002,Description,,,,,,,,,
2628,Dimension Units,,,,,,,,,
1055,Division,,,,,,,,,
911,DivSymbol,,,,,,,,,
1212,EffMatGrp,,,,,,,,,
1864,Employee,,"
    
      <span style=""color:#000000;font-size:8pt;font-family:&#39;ms shell dlg&#39;"">
        A person under the employment of the company
      </span>
    
  
",,,,,,,
1845,Employee Number,,,,,,,,,
1965,Employee Skill Matrix,,,,,,,,,
1942,Employee Type,,"
    
      <span style=""color:#000000;font-size:8pt;font-family:&#39;ms shell dlg&#39;"">
        can be F or P
      </span>
    
  
",,,,,,,
1190,EpAccrued,,,,,,,,,
1140,EpAmort,,,,,,,,,
887,EpBookVal,,,,,,,,,
898,EpCarry,,,,,,,,,
1252,EpDefAccrued,,,,,,,,,
899,ExternalTBABlockID,,,,,,,,,
1166,FASB91,,,,,,,,,
840,Fed_13F_Sec_List,,,,,,,,,
811,FED_CUSIP,,"
    
      <span style=""color:#000000;font-size:8pt;font-family:&#39;ms shell dlg&#39;"">
        A nine-character alphanumeric identifier that&#39;s used to uniquely identify financial 
        instruments and their issuers.
      </span>
    
  
",,,,,,,
1276,FFIEC_Type,,,,,,,,,
