Key,Name,Status,Definition,Abbreviations,Aliases,AdditionalNotes,Stewards,RelatedGlossaries,TermEntityType,ParentGlossary
,360 Survey,,"An employee feedback program whereby an employee is rated by surveys distributed to his or her co-workers, customers, and managers. HR departments may use this feedback to help develop an individual's skill or they may integrate it into performance management programs.",360s,,,admin,,Business Terms,Human Resources
,401(k) Plan,,"An employer-sponsored retirement plan that has become an expected benefit and is therefore important in attracting and retaining employees. A 401(k) plan allows employees to defer taxes as they save for retirement by placing before-tax dollars directly into an investment account. Employers also contribute to the plan tax-free, for instance by matching contributions. Some plans enable employees to direct their own investments. These plans can be expensive and complex to manage. It is common for companies to outsource all or part of their plan.",,,,admin,,Business Terms,Human Resources
,Absenteeism Policy,,"A policy about attendance requirements, scheduled and unscheduled time off, and measures for dealing with workplace absenteeism. Repeated absenteeism can lead to termination.",,,,admin,,Business Terms,Human Resources
,accessibility,,"one of the four major requirements (with actionability, measurability and substantiality) for useful market segmentation, accessibility expresses the notion that the segment targeted must be able to be reached and served adequately by the firm's promotion and distribution system,?see actionability, measurability, and?substantiality",,,,admin,,Business Terms,Human Resources
,Account,,"A Customer Account is the single, centralized place to manage all billing information about your customers – including company and contact information and payment terms and preferred payment methods",,,,admin,,Business Terms,Company Wide
,Accounting period ,,"Time period for which financial statements are prepared (e.g. month, quarter, year).",,,,admin,,Business Terms,Accounting
,Accounts ,,Financial statements prepared at the end of a period to reflect the profit of loss or the period and financial position at the end of the period.,,,,admin,,Business Terms,Accounting
,Accounts payable ,,"Amounts due for payment to suppliers of goods or services, also described as trade creditors.",,,,admin,,Business Terms,Accounting
,Accounts receivable ,,"Amounts due from customers, also described as a trade debtors.",,,,admin,,Business Terms,Accounting
,Accruals basis ,,The effects of transactions and other events are recognised when they occur (and not as cash or its equivalent is received or paid) and they are recorded in the accounting records and reported in the financial statements of the periods to which they relate (see also matching).,,,,admin,,Business Terms,Accounting
,Address,,,,,,admin,,Business Terms,Company Wide
,Address ID,,,,,,admin,,Business Terms,Company Wide
,Address Line,,,,,,admin,,Business Terms,Company Wide
,Administrative Services Only (ASO),,"The hiring of a firm (usually a health care vendor) to handle certain administrative tasks. The firm does not assume any risk but merely carries out the specialized functions that the employer cannot or does not want to do. For example, an employer funds its own dental insurance claim payments but pays the ASO firm to process the claims.",,,,admin,,Business Terms,Human Resources
,Adult,,,,,,admin,,Business Terms,Human Resources
,Affirmative action,,"Proactive policies aimed at increasing the employment opportunities of certain groups (typically, minority men and/or women of all racial groups). Title 5, Section 503 of the Rehabilitation Act requires that affirmative action be taken in employment of persons with disabilities by Federal contractors. Affirmative action was designed to rectify past discrimination but has been controversial since its inception.",,,,admin,,Business Terms,Human Resources
,Affirmative Action Plan (AAP),,"A written set of specific, results-oriented procedures to be followed. Intended to remedy the effects of past discrimination against or underutilization of women and minorities. The effectiveness of the plan is measured by the results it actually achieves rather than by the results intended and by the good faith efforts undertaken.",,,,admin,,Business Terms,Human Resources
,Agency,,,,,,admin,,Business Terms,Human Resources
,Agent (Insurance),,"An employee who sells the products owned by the company, in contrast to a broker, who sells the insurance products of several companies. See Broker.",,,,admin,,Business Terms,Human Resources
,Agile Organization,,"Also known as agile manufacturing, this is a term applied to an organization that has created the processes, tools, and training to enable it to respond quickly to customer needs and market changes while still controlling costs and quality.",,,,admin,,Business Terms,Human Resources
,Alternate Dispute Resolution (ADR),,"An informal process to resolve disputes. Involved parties meet with a trained third party who assists in resolving the problem by arbitration, mediation, judicial settlement conferences, conciliation or other methods. Though usually voluntary, ADR is sometimes mandated by a judge as a first step before going to court.",,,,admin,,Business Terms,Human Resources
,Americans With Disabilities Act (ADA),,"Title I of the Americans with Disabilities Act of 1990 is part of a federal law that prohibits discrimination against someone with a disability, defined as ?a physical or mental impairment that substantially limits a major life activity. Disability is decided on a case-by-case basis and does not include conditions such as substance abuse. This law applies to the whole employment cycle",,,,admin,,Business Terms,Human Resources
,Amortisation ,,"Process similar to depreciation, usually applied to intangible fixed assets.",,,,admin,,Business Terms,Accounting
,Applicant Tracking System (ATS),,"A software application that began as a way to electronically handle recruitment needs but has since expanded to the entire employment life cycle. Onboarding, training and succession planning capabilities now exist, for example. An ATS can be implemented on an enterprise level or small business level, depending on the size and needs of the company. Applicant Tracking Systems may also be referred to as Talent Management Systems. An ATS saves time and increases efficiency and compliance for those tasked with managing human capital.",,,,admin,,Business Terms,Human Resources
,Application Service Provider (ASP),,"Other common terms are SaaS (software as a service), on-demand or Web-based services. A business that provides computer-based services to customers over a network, as opposed to installing the software on a company server (hosted). This is a cost-effective solution for small and medium-sized businesses, who may find it hard to keep up with the increasing costs of specialized software, distribution and upgrades. Smaller, periodic payments replace one-time lump sum pricing. The ASP can be accessed from any location via the Internet. HRmarketer.com is an example.",,,,admin,,Business Terms,Human Resources
,Articles of association ,,Document setting out the relative rights of shareholders in a limited liability company.,,,,admin,,Business Terms,Accounting
,Assets ,,"Something a business owns/uses, e.g. equipment or rights to a trademark.",,,,admin,,Business Terms,Accounting
,Attrition,,"A gradual voluntary reduction of employees (through resignation and retirement) who are not then replaced, decreasing the size of the workforce.",,,,admin,,Business Terms,Human Resources
,Audit ,,"An audit is the independent examination of, and expression of opinion on, financial statements of an entity.",,,,admin,,Business Terms,Accounting
,Background Screening / Pre-employment Screening,,"Testing to ensure that employers are hiring qualified and honest employees and that a prospective employee is capable of performing the functions required by the job. The screening can involve criminal background checks, verification of Social Security numbers, past addresses, age or year of birth, corporate affiliations, bankruptcies, liens, drug screening, skills assessment and behavioral assessments. If an employer outsources pre-employment screening, the federal Fair Credit Reporting Act requires that there must be a consent and disclosure form separate from an employment application.",,,,admin,,Business Terms,Human Resources
,Bad debt ,,It is known that a credit customer (debtor) is unable to pay the amount due.,,,,admin,,Business Terms,Accounting
,Balanced Scorecard,,"A strategic planning and management system that is used to tie business activities to the vision and strategy of the organization, improve internal and external communications, and monitor performance against goals. Developed in the early 1990's by Drs. Robert Kaplan and David Norton, the balanced scorecard measure four areas of business: internal business processes, financial performance, customer knowledge, and learning and growth.",,,,admin,,Business Terms,Human Resources
,Balance sheet ,,"A statement of the financial position of an entity showing assets, liabilities, and ownership interest at a date.",,,,admin,,Business Terms,Accounting
,Base Wage Rate (or base rate),,"The monthly salary or hourly wage paid for a job, irrespective of benefits, bonuses or overtime. ",,,,admin,,Business Terms,Human Resources
,Behavioral-based interview,,An interview technique used to determine whether a candidate is qualified for a position based on their past behavior. The interviewer asks the candidate for specific examples from past work experience when certain behaviors were exhibited.,,,,admin,,Business Terms,Human Resources
,Behavioral competency,,The behavior qualities and character traits of a person. These act as markers that can predict how successful a person will be at the position he/she is applying for. Employers should determine in advance what behavioral competencies fit the position and create interview questions to find out if the candidate possesses them.,,,,admin,,Business Terms,Human Resources
,Behaviorally anchored rating scale (BARS),,An appraisal that requires raters to list important dimensions of a particular job and collect information regarding the critical behaviors that distinguishes between successful and unsuccessful performance. These critical behaviors are then categorized and appointed a numerical value used as the basis for rating performance.,,,,admin,,Business Terms,Human Resources
,Behavioral risk management,,"The process of analyzing and identifying workplace behavioral issues and implementing programs, policies or services most suitable for correcting or eliminating various employee behavioral problems.",,,,admin,,Business Terms,Human Resources
,Benchmarking,,"A technique using specific standards to make comparisons between different organizations or different segments of the organizations, with the intent of improving a product or service.""Benefits Administration",,,,admin,,Business Terms,Human Resources
,Benchmark Job,,A job commonly found in the workforce for which pay and other relevant data are readily available. Benchmark jobs are used to make pay comparisons and job evaluations.,,,,admin,,Business Terms,Human Resources
,Benefits (benefits package),,Benefits are a form of compensation paid by employers to employees over and above the amount of pay specified as a base salary or hourly rate of pay. Benefits are a portion of a total compensation package for employees.,,,,admin,,Business Terms,Human Resources
,Bereavement leave,,"Paid or unpaid time off following the death of an employee?s relative or friend. This time, generally ranging from one to three days, is given so that the employee can make arrangements, attend the funeral and attend to other matters related to the deceased. Many organizations are flexible in terms of how much time an employee takes off.",,,,admin,,Business Terms,Human Resources
,Blended workforce,,"A workforce is comprised of permanent full-time, part-time, temporary employees and independent contractors.",,,,admin,,Business Terms,Human Resources
,Blog,,"A Web log written for and posted to the Internet using such software as www.blogger.com. Readers access the blog through the Web (e.g <a href=""http://hrmarketer.blogspot.com/"">http://hrmarketer.blogspot.com/</a>) or subscribe to the blog?s RSS (Really Simple Syndication) feed and receive alerts when there is a new posting. Blogs are becoming increasingly important to HR suppliers in order to increase their company?s visibility, communicate with customers, and promote their products or services to establish themselves as thought leaders.",,,,admin,,Business Terms,Human Resources
,Branding,,"Promoting a product or service by identifying and then marketing its key differentiators from competitors. The differentiator/s often inspire the name, phrase or logo for which the product or service becomes known.",,,,admin,,Business Terms,Human Resources
,Broadbanding,,A pay structure that exchanges a large number of narrow salary ranges for a smaller number of broader salary ranges. This type of pay structure encourages the development of broad employee skills and growth while reducing the opportunity for promotion.,,,,admin,,Business Terms,Human Resources
,Broker,,An individual who acts as an agent for a buyer and a seller and charges a commission for his/her services. An example of a large brokerage firm is Marsh. An example of a state firm is ABD in California.,,,,admin,,Business Terms,Human Resources
